peer_count,seed,implementation,round,previous_mesh,candidate_mesh,deployed_mesh,gossip_factor,heartbeat_ms,accepted,rejection_reason
100,4242,FedGreenSub,2,8,8,8,0.2443479154,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4242,FedGreenSub,3,8,8,8,0.2365772539,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4242,Trust-Aware,1,8,8,8,0.2484946594,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4242,Trust-Aware,2,8,8,8,0.2443487122,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4242,Trust-Aware,3,8,8,8,0.2365799221,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4243,FedGreenSub,1,8,8,8,0.2484944955,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4243,FedGreenSub,2,8,8,8,0.2443479574,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4243,FedGreenSub,3,8,8,8,0.2365773639,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4243,Trust-Aware,1,8,8,8,0.2484946684,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4243,Trust-Aware,2,8,8,8,0.2443487451,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4243,Trust-Aware,3,8,8,8,0.236579991,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4244,FedGreenSub,1,8,8,8,0.248494493,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4244,FedGreenSub,2,8,8,8,0.2443479461,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4244,FedGreenSub,3,8,8,8,0.2365773264,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4244,Trust-Aware,1,8,8,8,0.248494669,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4244,Trust-Aware,2,8,8,8,0.2443487472,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4244,Trust-Aware,3,8,8,8,0.2365799959,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4245,FedGreenSub,1,8,8,8,0.2484944916,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4245,FedGreenSub,2,8,8,8,0.2443479385,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4245,FedGreenSub,3,8,8,8,0.2365772956,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4245,Trust-Aware,1,8,8,8,0.2484946638,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4245,Trust-Aware,2,8,8,8,0.2443487286,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4245,Trust-Aware,3,8,8,8,0.2365799575,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4246,FedGreenSub,1,8,8,8,0.2484944958,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4246,FedGreenSub,2,8,8,8,0.2443479541,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4246,FedGreenSub,3,8,8,8,0.2365773288,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4246,Trust-Aware,1,8,8,8,0.2484946691,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4246,Trust-Aware,2,8,8,8,0.2443487476,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4246,Trust-Aware,3,8,8,8,0.2365799969,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4242,FedGreenSub,1,8,8,8,0.2484944902,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4242,FedGreenSub,2,8,8,8,0.2443479361,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4242,FedGreenSub,3,8,8,8,0.2365773069,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4242,Trust-Aware,1,8,8,8,0.2484946609,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4242,Trust-Aware,2,8,8,8,0.2443487174,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4242,Trust-Aware,3,8,8,8,0.2365799308,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4243,FedGreenSub,1,8,8,8,0.2484944936,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4243,FedGreenSub,2,8,8,8,0.2443479486,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4243,FedGreenSub,3,8,8,8,0.2365773339,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4243,Trust-Aware,1,8,8,8,0.2484946673,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4243,Trust-Aware,2,8,8,8,0.2443487408,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4243,Trust-Aware,3,8,8,8,0.2365799798,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4244,FedGreenSub,1,8,8,8,0.2484944937,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4244,FedGreenSub,2,8,8,8,0.2443479473,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4244,FedGreenSub,3,8,8,8,0.2365773202,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4244,Trust-Aware,1,8,8,8,0.2484946683,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4244,Trust-Aware,2,8,8,8,0.2443487444,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4244,Trust-Aware,3,8,8,8,0.2365799877,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4245,FedGreenSub,1,8,8,8,0.2484944896,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4245,FedGreenSub,2,8,8,8,0.2443479328,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4245,FedGreenSub,3,8,8,8,0.2365772928,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4245,Trust-Aware,1,8,8,8,0.2484946607,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4245,Trust-Aware,2,8,8,8,0.244348717,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4245,Trust-Aware,3,8,8,8,0.2365799304,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4246,FedGreenSub,1,8,8,8,0.2484944945,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4246,FedGreenSub,2,8,8,8,0.2443479516,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4246,FedGreenSub,3,8,8,8,0.2365773386,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4246,Trust-Aware,1,8,8,8,0.248494668,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4246,Trust-Aware,2,8,8,8,0.2443487433,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
200,4246,Trust-Aware,3,8,8,8,0.2365799852,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
