Plot summary generated from raw evaluation results. Energy values represent modeled estimates.

trust: Delivery Ratio - FedGreenSub: mean=1, stddev=0, difference_vs_baseline=0.000%
trust: Delivery Ratio - Trust-Aware FedGreenSub: mean=1, stddev=0, difference_vs_baseline=0.000%
trust: Estimated Energy per Delivered Message - Standard GossipSub: mean=0.000686815, stddev=7.28853e-09, difference_vs_baseline=0.000%
trust: Estimated Energy per Delivered Message - FedGreenSub: mean=0.000683817, stddev=7.28853e-09, difference_vs_baseline=-0.437%
trust: Estimated Energy per Delivered Message - Trust-Aware FedGreenSub: mean=0.000682121, stddev=7.28853e-09, difference_vs_baseline=-0.683%
trust: Go Heap Memory (MB) - Standard GossipSub: mean=0.555679, stddev=0.0298538, difference_vs_baseline=0.000%
trust: Go Heap Memory (MB) - FedGreenSub: mean=0.563286, stddev=0.0298538, difference_vs_baseline=1.369%
trust: Go Heap Memory (MB) - Trust-Aware FedGreenSub: mean=0.579742, stddev=0.0298538, difference_vs_baseline=4.330%
trust: Average Latency (ms) - Standard GossipSub: mean=20, stddev=0, difference_vs_baseline=0.000%
trust: Average Latency (ms) - FedGreenSub: mean=20, stddev=0, difference_vs_baseline=0.000%
trust: Average Latency (ms) - Trust-Aware FedGreenSub: mean=20, stddev=0, difference_vs_baseline=0.000%
trust: Average TrustScore - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Average TrustScore - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Average TrustScore - Trust-Aware FedGreenSub: mean=0.547181, stddev=0, difference_vs_baseline=n/a
trust: Minimum TrustScore - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Minimum TrustScore - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Minimum TrustScore - Trust-Aware FedGreenSub: mean=0.505515, stddev=0, difference_vs_baseline=n/a
trust: Trust Variance - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Variance - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
