scenario,implementation,peer_count,repetition,seed,modeled_resource_cost_total,modeled_resource_cost_per_delivered_message,delivered,duplicates,duplicate_ratio,delivery_ratio,bytes_sent,bytes_received,cpu,memory_mb
energy-scaling,fl,100,2,4243,67.6964386409,0.367915427396,184,12,0.0633487755191,0.923464903366,217773,201105,57.6395199572,2.39782714844
energy-scaling,fedgreen,100,2,4243,67.6961899728,0.367914075939,184,12,0.0633484665821,0.923464903366,217773,201105,57.6395199572,2.33142852783
energy-scaling,trustaware,100,2,4243,67.6964379418,0.367915423596,184,12,0.0633487748801,0.923464903366,217773,201105,57.6395199572,1.66425323486
energy-scaling,gossipsub,100,3,4244,68.9628714059,0.374798214162,184,12,0.0648490020547,0.924362938916,218081,201585,57.6490300782,2.19717407227
energy-scaling,heuristic,100,3,4244,68.9628714059,0.374798214162,184,12,0.0648490020547,0.924362938916,218081,201585,57.6490300782,2.74057769775
energy-scaling,fl,100,3,4244,67.659300006,0.367713586989,184,12,0.0632384827259,0.924362938916,217751,201280,57.6490300782,1.84046936035
energy-scaling,fedgreen,100,3,4244,67.6590496686,0.36771222646,184,12,0.0632381714801,0.924362938916,217751,201280,57.6490300782,3.2518157959
energy-scaling,trustaware,100,3,4244,67.6592994125,0.367713583764,184,12,0.0632384822762,0.924362938916,217751,201280,57.6490300782,2.24964141846
energy-scaling,gossipsub,100,4,4245,68.7483381782,0.373632272708,184,12,0.0646907853741,0.924002203681,218048,201476,57.363640515,2.78035736084
energy-scaling,heuristic,100,4,4245,68.7483381782,0.373632272708,184,12,0.0646907853741,0.924002203681,218048,201476,57.363640515,3.32376098633
energy-scaling,fl,100,4,4245,67.4447633232,0.366547626756,184,12,0.0630802615381,0.924002203681,217718,201171,57.363640515,2.15366363525
energy-scaling,fedgreen,100,4,4245,67.4445118014,0.36654625979,184,12,0.0630799494805,0.924002203681,217718,201171,57.363640515,1.65399169922
energy-scaling,trustaware,100,4,4245,67.4447627268,0.366547623515,184,12,0.0630802609916,0.924002203681,217718,201171,57.363640515,3.10466003418
energy-scaling,gossipsub,100,5,4246,68.9878643664,0.374934045469,184,12,0.064889672819,0.923722789557,218089,201453,57.715822341,3.6351852417
energy-scaling,heuristic,100,5,4246,68.9878643664,0.374934045469,184,12,0.064889672819,0.923722789557,218089,201453,57.715822341,1.72020721436
energy-scaling,fl,100,5,4246,67.6842933895,0.367849420595,184,12,0.0632791542569,0.923722789557,217759,201148,57.715822341,3.03765106201
energy-scaling,fedgreen,100,5,4246,67.6840385924,0.367848035828,184,12,0.0632788383519,0.923722789557,217759,201148,57.715822341,2.23870849609
energy-scaling,trustaware,100,5,4246,67.6842923797,0.367849415107,184,12,0.0632791532643,0.923722789557,217759,201148,57.715822341,2.06954193115
energy-scaling,gossipsub,200,1,4242,68.6547823286,0.373123817003,184,12,0.0649875934213,0.923611643611,218109,201448,57.2288244603,3.13957214355
energy-scaling,heuristic,200,1,4242,68.6547823286,0.373123817003,184,12,0.0649875934213,0.923611643611,218109,201448,57.2288244603,1.9455871582
energy-scaling,fl,200,1,4242,67.3512056444,0.366039161111,184,12,0.0633770672835,0.923611643611,217779,201143,57.2288244603,3.38871765137
energy-scaling,fedgreen,200,1,4242,67.3509571717,0.366037810716,184,12,0.063376758861,0.923611643611,217779,201143,57.2288244603,2.64719390869
energy-scaling,trustaware,200,1,4242,67.3512053956,0.366039159759,184,12,0.0633770669906,0.923611643611,217779,201143,57.2288244603,3.66305541992
energy-scaling,gossipsub,200,2,4243,68.8996420572,0.374454576398,184,12,0.0648654465218,0.924004997869,218084,201510,57.6087460254,2.16607666016
energy-scaling,heuristic,200,2,4243,68.8996420572,0.374454576398,184,12,0.0648654465218,0.924004997869,218084,201510,57.6087460254,3.24755096436
energy-scaling,fl,200,2,4243,67.5960698304,0.36736994473,184,12,0.0632549262924,0.924004997869,217754,201205,57.6087460254,3.36493682861
energy-scaling,fedgreen,200,2,4243,67.5958209094,0.367368591899,184,12,0.0632546169274,0.924004997869,217754,201205,57.6087460254,4.09010314941
